Prùmìrná hrubá mìsíèní mzda a prùmìrný poèet zamìstnancù1);;;;;;;;;;;;
Average gross monthly wages and average number of employees1);;;;;;;;;;;;
na pøepoètené poèty / per full-time equivalent employee;;;;;;;;;;;;
"Období
Period";"  Prùmìrná hrubá mìsíèní mzda
Average gross monthly wages";;;"Prùmìrný poèet zamìstnancù 
Average number of employees ";;;;;;;;
;"  nominální mzda
 v Kè
Nominal wage 
(CZK)";"index nominální mzdy
SOPR=1002)
Nominal wage index, SPPY=1002)";"index reálné mzdy
SOPR=1002)
Real wage index,
SPPY=1002)";" v tis.
Thous.";"index 
SOPR=1002)

SPPY=1002)                                                                                                                                                               ";;;;;;;
;;;;;;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;19 305;106,1;103,1;3 954,1;100,8;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;21 269;106,5;104,9;3 984,4;101,0;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;18 789;106,8;103,8;3 900,5;100,5;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;18 963;106,5;103,5;3 918,4;100,6;;;;;;;
;;;;;;;;;;;;
2007        1. ètvrtletí / Q1;19 687;107,8;106,2;3 946,9;101,9;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;20 740;107,5;105,0;3 993,8;101,7;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;20 721;107,3;104,7;4 014,7;101,5;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;22 641;106,5;101,6;4 058,2;101,9;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;20 217;107,6;105,5;3 970,4;101,8;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;20 386;107,5;105,2;3 985,1;101,7;;;;;;;
;;;;;;;;;;;;
2008        1. ètvrtletí / Q1;21 632;109,9;102,3;4 020,4;101,9;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;22 246;107,3;100,5;4 051,6;101,4;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;22 181;107,0;100,4;4 046,4;100,8;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;24 309;107,4;102,6;4 030,1;99,3;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;21 940;108,5;101,3;4 036,0;101,7;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;22 021;108,0;101,0;4 039,5;101,4;;;;;;;
;;;;;;;;;;;;
2009         1. ètvrtletí / Q1;22 108;102,2;100,1;3 875,7;96,4;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;22 796;102,5;101,1;3 824,7;94,4;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;23 091;104,1;104,0;3 780,0;93,4;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;25 418;104,6;104,2;3 783,3;93,9;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;22 449;102,3;100,5;3 850,2;95,4;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;22 661;102,9;101,7;3 826,8;94,7;;;;;;;
;;;;;;;;;;;;
2010         1. ètvrtletí / Q1;22 738;102,8;102,1;3 741,9;96,5;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;23 504;103,1;101,9;3 789,5;99,1;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;23 600;102,2;100,3;3 801,8;100,6;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;25 591;100,7;98,6;3 811,1;100,7;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;23 123;103,0;102,1;3 765,7;97,8;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;23 283;102,7;101,4;3 777,7;98,7;;;;;;;
;;;;;;;;;;;;
2011         1. ètvrtletí / Q1;23 372;102,8;101,1;3 732,5;99,7;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;24 116;102,6;100,8;3 790,4;100,0;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;24 107;102,1;100,3;3 784,9;99,6;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;26 211;102,4;100,0;3 785,3;99,3;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;23 747;102,7;100,9;3 761,4;99,9;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;23 867;102,5;100,7;3 769,3;99,8;;;;;;;
;;;;;;;;;;;;
2012         1. ètvrtletí / Q1;24 131;103,2;99,5;3 736,8;100,1;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;24 627;102,1;98,7;3 783,4;99,8;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;24 439;101,4;98,2;3 787,9;100,1;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;27 055;103,2;100,4;3 792,3;100,2;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;24 380;102,7;99,2;3 760,1;100,0;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;24 400;102,2;98,8;3 769,4;100,0;;;;;;;
;;;;;;;;;;;;
2013         1. ètvrtletí / Q1;23 985;99,4;97,6;3 704,4;99,1;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;24 877;101,0;99,5;3 736,3;98,8;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;24 735;101,2;100,0;3 748,4;99,0;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;26 525;98,0;96,9;3 760,7;99,2;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;24 433;100,2;98,5;3 720,3;98,9;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;24 534;100,5;99,0;3 729,7;98,9;;;;;;;
;;;;;;;;;;;;
2014         1. ètvrtletí / Q1;24 931;103,9;103,7;3 720,2;100,4;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;25 569;102,8;102,6;3 773,2;101,0;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;25 279;102,2;101,6;3 794,8;101,2;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;27 261;102,8;102,3;3 825,8;101,7;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;25 252;103,4;103,2;3 746,7;100,7;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;25 261;103,0;102,7;3 762,7;100,9;;;;;;;
;;;;;;;;;;;;
2015         1. ètvrtletí / Q1;25 497;102,3;102,2;3 793,5;102,0;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;26 408;103,3;102,6;3 851,8;102,1;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;26 163;103,5;103,1;3 872,8;102,1;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;28 258;103,7;103,6;3 909,6;102,2;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;25 956;102,8;102,4;3 822,7;102,0;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;26 026;103,0;102,6;3 839,4;102,0;;;;;;;
;;;;;;;;;;;;
2016         1. ètvrtletí / Q1;26 683;104,7;104,2;3 873,8;102,1;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;27 452;104,0;103,8;3 925,6;101,9;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;27 396;104,7;104,2;3 932,5;101,5;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;29 491;104,4;103,0;3 970,9;101,6;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;27 070;104,3;103,9;3 899,7;102,0;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;27 179;104,4;104,0;3 910,7;101,9;;;;;;;
;;;;;;;;;;;;
2017         1. ètvrtletí / Q1;28 034;105,1;102,6;3 957,5;102,2;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;29 432;107,2;104,9;4 003,4;102,0;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;29 234;106,7;104,1;4 020,7;102,2;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;31 802;107,8;105,1;4 067,5;102,4;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;28 737;106,2;103,8;3 980,5;102,1;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;28 904;106,3;103,8;3 993,9;102,1;;;;;;;
;;;;;;;;;;;;
2018          1. ètvrtletí / Q1;30 427;108,5;106,5;4 038,1;102,0;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;32 003;108,7;106,3;4 072,5;101,7;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;31 685;108,4;105,9;4 077,2;101,4;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;34 057;107,1;104,9;4 106,9;101,0;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;31 219;108,6;106,4;4 055,3;101,9;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;31 375;108,5;106,2;4 062,6;101,7;;;;;;;
;;;;;;;;;;;;
2019         1. ètvrtletí / Q1;32 951;108,3;105,5;4 040,9;100,1;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;34 576;108,0;105,1;4 067,7;99,9;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;34 127;107,7;104,8;4 052,0;99,4;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                                    ;36 634;107,6;104,5;4 086,3;99,5;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;33 766;108,2;105,3;4 054,3;100,0;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;33 886;108,0;105,1;4 053,6;99,8;;;;;;;
;;;;;;;;;;;;
2020        1. ètvrtletí / Q1;34 761;105,5;101,8;4 037,9;99,9;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;34 875;100,9;97,9;3 964,6;97,5;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;35 975;105,4;102,0;3 962,8;97,8;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                                    ;39 092;106,7;104,0;4 003,5;98,0;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;34 817;103,1;99,7;4 001,2;98,7;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;35 201;103,9;100,6;3 988,4;98,4;;;;;;;
;;;;;;;;;;;;
2021         1. ètvrtletí / Q1;35 804;103,0;100,8;3 970,4;98,3;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;38 770;111,2;108,1;3 995,1;100,8;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;37 896;105,3;101,2;4 003,5;101,0;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                                    ;40 601;103,9;97,9;4 034,5;100,8;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;37 291;107,1;104,5;3 982,8;99,5;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;37 494;106,5;103,3;3 989,7;100,0;;;;;;;
;;;;;;;;;;;;
2022         1. ètvrtletí / Q1;37 691;105,3;94,7;3 990,5;100,5;;;;;;;
2. ètvrtletí / Q2;39 726;102,5;88,5;4 030,1;100,9;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;39 386;103,9;88,4;4 030,9;100,7;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                                    ;42 878;105,6;91,3;4 066,0;100,8;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;38 714;103,8;91,5;4 010,3;100,7;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;38 939;103,9;90,4;4 017,1;100,7;;;;;;;
;;;;;;;;;;;;
20233)       1. ètvrtletí / Q1;41 058;108,9;93,6;4 009,5;100,5;;;;;;;
2. ètvrtletí / Q2;43 057;108,4;97,6;4 026,6;99,9;;;;;;;
3. ètvrtletí / Q3;42 439;107,8;99,8;4 016,4;99,6;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                                    ;45 907;107,1;99,5;4 042,8;99,4;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;42 060;108,6;95,5;4 018,1;100,2;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;42 186;108,3;97,0;4 017,5;100,0;;;;;;;
;;;;;;;;;;;;
20243)       1. ètvrtletí / Q1;43 941;107,0;104,8;4 014,7;100,1;;;;;;;
;;;;;;;;;;;;
"1) Údaje se týkají pouze zamìstnancù v pracovním pomìru ke zpravodajské jednotce. Zahrnuty nejsou osoby vykonávající veøejné funkce, napø. poslanci, senátoøi, uvolnìní èlenové zastupitelstev všech stupòù, soudci aj. V údajích o prùmìrných mzdách se jedná o mzdy v tomto období zúètované k výplatì.
1) The data refer only to the employees with an employment contract with the reporting units. Excludes persons performing public office, such as Members of Parliament, Senators, full-time councillors at all levels, judges, etc. The average wages refer to wages accounted for payment in the given period.";;;;;;;;;;;;
"2) SOPR = stejné období pøedchozího roku
2) SPPY = same period of the previous year.";;;;;;;;;;;;
"3) pøedbìžné údaje
3) Preliminary data.";;;;;;;;;;;;
